Station : KARACHI-AP      
Day    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
Year : 2022          Temperature, daily minimum (øC)              
   1   12.9   15.5   18.0   20.4   29.6   28.4   29.4   26.5   27.5   25.5   21.2   11.5 
   2   13.5   16.0   18.5   19.8   28.5   27.5   30.0   27.0   27.5   26.5   24.0   12.5 
   3   16.0   18.5   18.5   20.5   27.5   28.0   29.5   27.5   27.0   26.5   24.0   14.5 
   4   17.0   14.6   19.0   23.4   27.0   27.7   29.0   28.0   27.5   26.5   22.9   12.5 
   5   14.8   12.5   19.5   24.0   26.6   28.0   28.0   28.0   26.5   26.0   20.0   14.5 
   6   15.0   13.0   19.0   22.2   27.0   27.0   29.0   28.5   27.0   26.0   20.0   14.5 
   7   13.3   16.5   20.5   25.5   27.2   27.0   26.4   28.2   27.0   25.5   20.5   12.5 
   8   11.0   17.5   21.5   27.5   27.0   28.0   26.5   27.0   27.0   26.5   20.0   13.0 
   9    9.7   14.5   18.5   26.0   28.0   28.0   26.0   28.9   27.8   24.0   19.5   14.5 
  10   10.0   13.7   19.5   24.0   28.2   28.5   26.9   29.5   28.5   23.8   20.5   15.9 
  11   10.5   12.7   20.2   25.3   27.6   29.0   26.0   25.9   29.0   20.5   20.5   16.0 
  12    9.5   12.7   20.8   25.5   28.1   29.0   25.0   26.5   28.0   20.5   20.0   16.5 
  13    9.5   12.5   21.0   25.0   28.5   28.5   28.5   26.0   24.5   19.5   20.5   16.5 
  14   10.3   13.5   21.5   25.7   28.7   28.5   28.0   25.5   24.9   19.5   22.0   18.0 
  15   12.5   15.4   23.0   25.0   28.3   29.5   28.5   27.0   27.4   18.0   21.5   11.2 
  16   14.0   15.5   23.0   26.1   28.5   29.2   26.6   27.0   27.0   19.9   19.0   12.5 
  17   14.0   14.5   22.5   26.0   28.0   29.5   28.5   27.0   26.9   19.4   19.5   11.7 
  18   13.5   14.5   23.5   26.5   28.0   29.0   27.0   26.5   27.0   22.5   19.0   12.0 
  19   13.0   16.8   24.0   26.7   27.9   29.5   27.5   27.5   26.7   23.5   20.0   12.8 
  20   13.5   17.0   24.9   26.7   28.0   29.7   28.0   27.1   26.4   22.8   20.5   13.0 
  21   21.0   20.0   21.5   26.8   29.0   29.8   28.4   27.0   26.0   22.5   18.2   13.0 
  22   19.0   21.5   22.4   26.5   28.5   29.5   28.5   27.5   26.0   23.0   20.0   11.4 
  23   13.5   19.4   23.5   26.5   29.1   23.0   28.0   27.0   26.5   19.5   16.5   10.0 
  24    9.0   15.5   23.5   26.5   27.5   29.5   27.0   26.5   26.5   20.5   16.0   10.1 
  25    9.4   16.0   23.5   27.5   28.5   29.5   25.5   26.5   26.5   23.5   16.3    9.9 
  26   10.0   17.5   19.8   27.0   28.7   29.3   26.0   26.5   26.0   24.5   15.5   10.0 
  27   10.5   18.5   21.5   27.0   28.6   29.5   26.0   27.0   26.5   23.5   16.5   12.5 
  28   11.0   18.0   24.5   27.5   28.5   29.5   25.5   26.8   26.0   21.5   16.0   13.0 
  29   11.5   ***    25.5   28.5   28.5   29.5   27.0   27.0   26.0   22.5   14.7   14.5 
  30   13.5   ***    21.8   29.4   28.0   29.1   26.5   26.5   26.0   20.3   13.5   16.0 
  31   15.0   ***    23.7   ***    28.5   ***    26.2   26.9   ***    21.0   ***    11.5 
AVE.    12.8   15.8   21.6   25.5   28.1   28.6   27.4   27.1   26.8   22.7   19.3   13.2

Station : KARACHI-AP      
Day    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
Year : 2022          Temperature, daily maximum (øC)              
   1   23.8   30.1   32.5   41.3   40.6   34.5   35.0   31.7   33.1   32.5   35.3   31.5 
   2   25.4   31.1   32.5   40.5   39.5   35.5   35.5   29.5   31.5   32.5   35.2   32.0 
   3   25.5   29.0   32.2   41.0   35.5   37.5   34.2   30.5   33.5   33.5   35.0   30.1 
   4   25.5   29.5   33.0   39.5   35.3   36.9   35.1   31.9   33.2   33.5   34.4   30.5 
   5   23.5   30.5   32.5   35.4   36.5   35.0   36.5   33.5   32.0   33.1   35.3   30.5 
   6   22.5   27.5   33.3   40.7   34.6   34.6   36.5   33.9   31.5   36.5   36.3   30.0 
   7   18.5   27.3   31.5   39.0   36.0   34.3   33.5   32.5   33.5   36.5   34.2   29.8 
   8   20.2   27.1   33.5   41.2   37.0   34.2   35.0   35.0   34.5   38.2   31.0   32.1 
   9   22.5   27.2   35.0   40.1   35.0   34.3   33.5   35.4   35.5   38.5   31.1   32.1 
  10   21.5   28.2   34.0   36.8   35.2   33.5   30.5   36.5   39.5   38.7   31.5   30.5 
  11   22.7   28.5   35.1   38.8   35.6   34.5   33.1   35.5   40.5   37.2   33.5   30.5 
  12   23.1   29.7   37.2   35.2   36.5   34.5   30.4   35.5   36.3   37.8   34.2   29.5 
  13   23.5   29.5   38.2   33.6   37.2   36.0   34.5   33.5   35.3   36.5   34.0   30.0 
  14   24.0   27.5   39.3   35.9   41.0   35.5   35.0   29.2   36.2   36.2   33.5   28.7 
  15   24.5   28.8   37.5   35.0   42.8   36.3   37.5   32.3   37.2   36.5   32.1   30.6 
  16   24.2   30.8   34.5   37.9   36.5   34.6   36.5   31.4   33.2   37.6   30.5   30.5 
  17   24.1   31.5   34.2   36.8   41.7   35.5   35.3   32.8   31.5   38.4   32.2   30.8 
  18   26.5   31.5   34.2   34.6   41.0   35.1   35.0   30.3   32.2   38.2   33.0   31.9 
  19   26.5   31.5   33.1   34.5   36.3   34.5   31.7   29.2   33.5   35.5   32.2   29.7 
  20   27.3   32.0   36.6   34.4   35.5   35.2   32.5   29.5   33.3   34.8   32.0   31.5 
  21   30.0   33.6   36.0   37.5   35.0   34.5   34.1   30.5   32.2   33.6   32.5   29.5 
  22   28.0   32.1   32.5   37.5   35.5   35.0   33.1   31.5   32.3   36.5   32.5   29.3 
  23   22.0   31.0   30.8   35.1   35.5   36.8   31.8   32.1   31.8   36.6   34.0   27.6 
  24   23.5   32.6   33.5   34.8   39.1   39.6   32.0   31.2   31.1   37.1   32.5   27.3 
  25   24.5   32.0   37.5   38.0   37.0   40.0   29.0   29.1   31.5   35.5   32.1   26.7 
  26   25.2   32.3   39.5   37.0   35.2   36.5   30.1   30.5   32.1   33.5   31.2   26.5 
  27   25.7   32.5   38.5   36.5   34.1   37.8   30.4   32.0   33.1   34.5   32.0   26.5 
  28   26.0   29.1   40.5   38.7   34.5   36.3   29.8   31.1   33.1   32.2   31.0   27.0 
  29   26.5   ***    35.8   37.1   36.4   37.4   31.8   32.1   32.5   34.0   32.1   27.1 
  30   27.5   ***    35.5   37.5   35.2   35.2   31.4   31.5   33.1   34.5   31.1   29.5 
  31   27.5   ***    42.5   ***    35.5   ***    31.1   33.0   ***    35.7   ***    27.2 
AVE.    24.6   30.1   35.2   37.4   36.8   35.7   33.3   32.1   33.7   35.7   32.9   29.6

Station : KARACHI-AP      
Day    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
Year : 2022          Wind speed at 0300 UTC (knots)               
   1   4      0      0      0     10      8      8      8      8      4      0      0    
   2   6      0      4      0     16      8      8      4      8      8      0      2    
   3   6     10      4      0      8     10      4      4     10      2      0      2    
   4   4      0      0      4      8     12      0      8     12      6      0      4    
   5   0      2      0      4      6     10      0      6     10      0      0      2    
   6   8      2      4     10      8      8      2      6      8      6      0      2    
   7   6      0      0      6      8      8     10      2      6      2      4      2    
   8   0      2      6      6      8     10      0      6      0      6      0      0    
   9   0      0      0      6      6     10      4      6      4      0      0      0    
  10   2      2      0      2      6     10      0      4      0      0      0      4    
  11   0      0      0      8      4     10      6      0      0      0      2      4    
  12   4      2      0      4      4      8      6     12      2      0      0      4    
  13   0      2      0      8      6      8      6      0      0      0      0      2    
  14   2      0      6      6     10      6      0      6      0      0      0      8    
  15   6      4      4      4      6     10     10      6      8      2      6      0    
  16   4      4      4      8      8     10     10      0     10      0      0      2    
  17   6      0      6      6     12      8     10      0      6      0      4      2    
  18   0      0      4      6      6      8      2      8      6      4      0      0    
  19   0      0      2      6      6     10      0      4      4      0      0      2    
  20   4      0      4      6     10     12      8      4      6      4      0      2    
  21   4      2      0      8     10     14     10      8      6      4      0      2    
  22  18      4      2      8     14      2      4      6      8      2      0      4    
  23   0      0      4      6      8      0      6      4      8      0      2      2    
  24   0      0      4      6      6      6      4      6     10      0      0      4    
  25   4      0      2      8      4      8      0      4      8      4      2      0    
  26   4      0      0      6     12      6      4      6      4      4      2      2    
  27   0      8      0      6      8      6      0      6      4      0      0      2    
  28   0      4      8      8     12      0      4      8      6      0      0      4    
  29   4      ***    8      6     10      8      6      6     10      4      2      0    
  30   0      ***    0      8     10     10      6      4      8      0      4      2    
  31   0      ***    2      ***   12      ***    8      8      ***    0      ***    2    
AVE.     3.1    1.7    2.5    5.7    8.5    8.1    4.7    5.2    6.0    2.0    0.9    2.2

Station : KARACHI-AP      
Day    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
Year : 2022          Wind direction at 0300 UTC (degree)          
   1  23      0      0      0    270    270    270    270    270    270      0      0    
   2  23      0    315      0    270    248    270    270    270    293      0     68    
   3  23    315     45      0    248    293    248    270    270    315      0     68    
   4  45      0      0    225    270    270      0    315    270    270      0     23    
   5   0    248      0    293    293    248      0    293    270      0      0     90    
   6  90     45    270    293    315    248     68    248    315    293      0     90    
   7  23      0      0    270    293    270     45    315    270    338     45     90    
   8   0     68     45    293    248    270      0    293      0    360      0      0    
   9   0      0      0    225    248    270    270    248    338      0      0      0    
  10  68     68      0    248    225    248      0    360      0      0      0     45    
  11   0      0      0    248    248    248    225      0      0      0     23     23    
  12  45     68      0    248    248    248    293     68    315      0      0     23    
  13   0     45      0    248    270    270    270      0      0      0      0     45    
  14  23      0    270    270    270    248      0     45      0      0      0     23    
  15  23     45    248    270    225    248     45    338    270     45     45      0    
  16  45     45    293    270    270    248     23      0    270      0      0     68    
  17  45      0    248    225    270    248     45      0    270      0     45     45    
  18   0      0    270    248    270    248     90    225    248    225      0      0    
  19   0      0    270    293    225    248      0    225    293      0      0     90    
  20 293      0    270    270    248    248    248    248    270    293      0     90    
  21 270    270      0    293    248    248    248    248    270     45      0     68    
  22 293    225    248    270    270    203    203    270    270    360      0     45    
  23   0      0    248    270    270      0    270    293    293      0     90     68    
  24   0      0    293    248    225    270    293    293    293      0      0     90    
  25  68      0    293    225    248    293      0    270    248    270     68      0    
  26  68      0      0    270    270    293    203    248    248    293     45     68    
  27   0     45      0    270    248    225      0    248    270      0      0     45    
  28   0     45    293    270    270      0    270    248    293      0      0     68    
  29  45      ***  270    270    270    293    270    248    270     23     68      0    
  30   0      ***    0    293    270    248    248    315    248      0     90     68    
  31   0      ***   45      ***  270      ***  248    270      ***    0      ***   23    
MEAN      20     21    167    175    173    168    171    175    176    143     56     53

Station : KARACHI-AP      
Day    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
Year : 2022          Precipitation, Past 24 hrs.(mm)              
   1   0.0    0.0    0.0    0.0    0.0    0.0    0.0    3.0    0.0    0.0    0.0    0.0  
   2   0.0    0.0    0.0    0.0    0.0    0.0    Trace  2.3    Trace  0.0    0.0    0.0  
   3   0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0  
   4   0.0    0.0    0.0    0.0    0.0    0.0    0.0    Trace  0.0    0.0    0.0    0.0  
   5  20.7    0.0    0.0    0.0    0.0    0.0    3.8    0.0    0.0    0.0    0.0    0.0  
   6   0.0    0.0    0.0    0.0    0.0    0.0    7.2    Trace  0.0    0.0    0.0    0.0  
   7   7.8    0.0    0.0    0.0    0.0    0.0   13.9    0.2    0.0    0.0    0.0    0.0  
   8   0.0    0.0    0.0    0.0    0.0    0.0   14.0    9.3    0.0    0.0    2.6    0.0  
   9   0.0    0.4    0.0    0.0    0.0    0.0   53.0    Trace  0.0    0.0    0.0    0.0  
  10   0.0    0.0    0.0    0.0    0.0    0.0    1.1    0.0    0.0    0.0    0.0    0.0  
  11   0.0    0.0    0.0    0.0    0.0    0.0   49.8   35.5    0.0    0.0    0.0    0.0  
  12   0.0    0.0    0.0    0.0    0.0    0.0   37.6   16.9    0.0    0.0    0.0    0.0  
  13   0.0    0.0    0.0    0.0    0.0    0.0    0.0   12.0   34.2    0.0    0.0    0.0  
  14   0.0    0.0    0.0    0.0    0.0    0.0    0.0    4.2    9.2    0.0    0.0    0.0  
  15   0.0    0.0    0.0    0.0    0.0    0.0    Trace  0.5    0.0    0.0    0.0    0.0  
  16   0.0    0.0    0.0    0.0    0.0    0.0    2.3    1.0    0.0    0.0    0.0    0.0  
  17   0.0    0.0    0.0    0.0    0.0    0.0    Trace 13.7    Trace  0.0    0.0    0.0  
  18   0.0    0.0    0.0    0.0    0.0    Trace 33.2   19.1    0.0    0.0    0.0    0.0  
  19   0.0    0.0    0.0    0.0    0.0    0.0    2.6    Trace  0.0    0.0    0.0    0.0  
  20   0.0    0.0    0.0    0.0    0.0    0.0    Trace  Trace  0.0    0.0    0.0    0.0  
  21   0.0    0.0    0.0    0.0    0.0    Trace  Trace  0.5    0.0    0.0    0.0    0.0  
  22   0.0    0.0    0.0    0.0    0.0    0.0    Trace  Trace  0.0    0.0    0.0    0.0  
  23   0.0    0.0    0.0    0.0    0.0   21.6    2.8    0.0    0.0    0.0    0.0    0.0  
  24   0.0    0.0    0.0    0.0    0.0    0.0    0.6    4.4    0.0    0.0    0.0    0.0  
  25   0.0    0.0    0.0    0.0    0.0    0.0   81.7    5.3    0.0    0.0    0.0    0.0  
  26   0.0    0.0    0.0    0.0    0.0    0.0   39.2    0.0    0.0    0.0    0.0    0.0  
  27   0.0    0.0    0.0    0.0    0.0    0.0    0.5    0.0    0.0    0.0    0.0    0.0  
  28   0.0    0.0    0.0    0.0    0.0    0.0    3.5    0.0    0.0    0.0    0.0    0.0  
  29   0.0    ***    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0  
  30   0.0    ***    0.0    0.0    0.0    Trace  1.0    0.0    0.0    0.0    0.0    0.0  
  31   0.0    ***    0.0    ***    0.0    ***    0.5    0.0    ***    0.0    ***    0.0  
TOTAL   28.5    0.4    0.0    0.0    0.0   21.6  348.3  127.9   43.4    0.0    2.6    0.0

Station : KARACHI-AP      
Day    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
Year : 2022          Pressure, sea level at 0300 UTC (hPa/gpm)    
   1  1021.2 1012.8 1016.3 1009.3 1001.9 1004.2  998.2 1002.0 1005.6 1008.5 1013.9 1016.0
   2  1019.5 1011.5 1016.1 1009.2 1001.7 1004.3  997.3 1001.2 1006.6 1007.8 1014.9 1013.2
   3  1017.8 1012.0 1017.5 1009.8 1003.0 1003.4  996.2 1001.6 1006.9 1009.1 1012.6 1012.4
   4  1016.9 1010.4 1017.5 1009.8 1005.0 1002.6  996.8 1002.7 1004.6 1009.7 1014.1 1016.5
   5  1015.5 1010.2 1016.6 1011.2 1007.3 1002.6  997.4 1002.4 1005.0 1010.2 1013.9 1016.6
   6  1015.7 1013.0 1012.5 1012.4 1006.9 1003.1  997.6  999.5 1005.3 1008.1 1015.5 1016.9
   7  1014.4 1013.9 1013.4 1011.4 1008.1 1003.1 1001.3  998.3 1006.9 1007.2 1015.3 1017.4
   8  1016.2 1014.6 1014.6 1008.4 1005.7 1003.8 1000.8  998.9 1008.0 1008.0 1014.7 1015.9
   9  1017.7 1016.0 1014.3 1005.1 1003.5 1001.6  997.2  997.6 1007.1 1008.4 1016.0 1014.1
  10  1018.4 1018.3 1014.2 1006.5 1003.3 1000.8  997.9  995.4 1004.8 1010.8 1016.7 1015.0
  11  1019.6 1016.8 1014.3 1005.9 1003.0 1001.6 1000.8  994.3 1003.1 1009.4 1018.2 1015.6
  12  1019.5 1016.0 1012.7 1004.1 1002.6 1001.8 1000.7  994.6 1000.9 1009.7 1017.8 1015.4
  13  1017.9 1011.6 1012.5 1003.4 1000.1 1003.2  997.6  997.7 1003.1 1012.6 1015.0 1015.7
  14  1018.9 1012.1 1012.7 1005.7 1000.6 1004.2  996.2  997.5 1003.9 1012.3 1014.1 1017.2
  15  1019.3 1013.5 1010.9 1005.8 1002.8 1002.8  996.5  998.1 1004.5 1012.3 1017.1 1016.1
  16  1018.6 1012.0 1009.5 1004.1 1002.5 1001.1  996.9 1001.9 1002.8 1012.4 1016.9 1013.7
  17  1019.6 1010.2 1008.7 1004.1 1001.0 1000.4  997.2  999.2 1002.2 1014.1 1016.3 1014.8
  18  1019.7 1010.7 1007.2 1008.0 1002.1 1000.6 1000.5  998.5 1007.0 1012.1 1015.5 1015.5
  19  1016.6 1013.9 1005.8 1011.2 1004.8 1001.7 1001.0 1000.2 1008.1 1010.1 1015.8 1015.0
  20  1011.8 1015.0 1006.6 1010.1 1003.5 1000.1 1001.3 1001.8 1007.2 1011.8 1016.1 1014.0
  21  1008.5 1009.7 1009.4 1008.5 1002.5  997.0 1001.4 1001.7 1006.2 1014.0 1013.9 1014.1
  22  1008.0 1008.0 1010.1 1008.4  999.1  999.8 1004.9 1001.4 1006.3 1017.6 1015.0 1015.9
  23  1013.1 1012.4 1010.0 1009.1  997.2 1006.6 1001.9 1000.2 1006.9 1016.3 1015.9 1014.2
  24  1013.8 1015.6 1007.1 1008.9 1001.1 1004.2  999.4 1002.1 1005.5 1013.3 1014.7 1016.6
  25  1016.2 1014.9 1008.1 1007.4 1006.3  999.9  998.5 1002.1 1004.5 1010.7 1014.9 1017.2
  26  1015.4 1013.3 1011.1 1006.5 1004.5  998.7 1003.9 1003.7 1008.3 1012.5 1015.7 1016.5
  27  1018.7 1018.2 1010.7 1006.8 1002.5 1000.2 1004.4 1004.8 1008.6 1013.0 1011.4 1020.4
  28  1017.8 1017.6 1009.7 1006.4 1002.7 1000.8 1006.5 1004.4 1007.8 1014.5 1010.7 1018.5
  29  1016.2  ***   1007.6 1006.2 1003.3  998.8 1005.9 1005.1 1006.9 1014.1 1014.3 1017.3
  30  1015.1  ***   1006.8 1003.6 1002.8  997.8 1004.8 1008.3 1008.7 1014.9 1016.5 1020.1
  31  1011.6  ***   1008.6  ***   1003.9  ***   1002.2 1007.6  ***   1014.0  ***   1023.8
AVE.  1016.4 1013.4 1011.4 1007.6 1003.1 1001.7 1000.1 1000.8 1005.8 1011.6 1015.1 1016.2

Station : KARACHI-AP      
Day    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
Year : 2022          Pressure, station at 0300 UTC (hPa/gpm)      
   1  1018.3 1010.0 1013.5 1006.6  999.2 1001.5  995.5  999.3 1002.9 1005.8 1011.2 1013.3
   2  1016.7 1008.8 1013.4 1006.5  999.0 1001.6  994.6  998.5 1003.9 1005.1 1012.2 1010.4
   3  1015.1 1009.2 1014.9 1007.1 1000.3 1000.7  993.6  998.9 1004.2 1006.4 1009.9 1009.6
   4  1014.1 1007.6 1014.8 1007.1 1002.3  999.9  994.1 1000.0 1001.9 1007.0 1011.4 1013.7
   5  1012.7 1007.3 1013.8 1008.5 1004.6  999.9  994.8  999.7 1002.3 1007.5 1011.2 1013.8
   6  1012.9 1010.2 1009.8 1009.7 1004.3 1000.4  994.9  996.8 1002.6 1005.4 1012.8 1014.1
   7  1011.6 1011.2 1010.7 1008.7 1005.4 1000.5  998.6  995.6 1004.2 1004.5 1012.6 1014.6
   8  1013.3 1011.8 1011.9 1005.8 1003.1 1001.2  998.1  996.2 1005.3 1005.3 1012.0 1013.2
   9  1014.8 1013.2 1011.5 1002.5 1000.9  998.9  994.5  994.9 1004.4 1005.7 1013.3 1011.4
  10  1015.5 1015.5 1011.5 1003.8 1000.6  998.2  995.2  992.7 1002.2 1008.1 1014.0 1012.2
  11  1016.7 1014.1 1011.6 1003.2 1000.3  998.9  998.1  991.6 1000.4 1006.7 1015.5 1012.9
