Station : KARACHI-AP      
Year : 2022          Pressure, sea level at 0300 UTC (hPa/gpm)    
Day    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
   1  1021.2 1012.8 1016.3 1009.3 1001.9 1004.2  998.2 1002.0 1005.6 1008.5 1013.9 1016.0
   2  1019.5 1011.5 1016.1 1009.2 1001.7 1004.3  997.3 1001.2 1006.6 1007.8 1014.9 1013.2
   3  1017.8 1012.0 1017.5 1009.8 1003.0 1003.4  996.2 1001.6 1006.9 1009.1 1012.6 1012.4
   4  1016.9 1010.4 1017.5 1009.8 1005.0 1002.6  996.8 1002.7 1004.6 1009.7 1014.1 1016.5
   5  1015.5 1010.2 1016.6 1011.2 1007.3 1002.6  997.4 1002.4 1005.0 1010.2 1013.9 1016.6
   6  1015.7 1013.0 1012.5 1012.4 1006.9 1003.1  997.6  999.5 1005.3 1008.1 1015.5 1016.9
   7  1014.4 1013.9 1013.4 1011.4 1008.1 1003.1 1001.3  998.3 1006.9 1007.2 1015.3 1017.4
   8  1016.2 1014.6 1014.6 1008.4 1005.7 1003.8 1000.8  998.9 1008.0 1008.0 1014.7 1015.9
   9  1017.7 1016.0 1014.3 1005.1 1003.5 1001.6  997.2  997.6 1007.1 1008.4 1016.0 1014.1
  10  1018.4 1018.3 1014.2 1006.5 1003.3 1000.8  997.9  995.4 1004.8 1010.8 1016.7 1015.0
  11  1019.6 1016.8 1014.3 1005.9 1003.0 1001.6 1000.8  994.3 1003.1 1009.4 1018.2 1015.6
  12  1019.5 1016.0 1012.7 1004.1 1002.6 1001.8 1000.7  994.6 1000.9 1009.7 1017.8 1015.4
  13  1017.9 1011.6 1012.5 1003.4 1000.1 1003.2  997.6  997.7 1003.1 1012.6 1015.0 1015.7
  14  1018.9 1012.1 1012.7 1005.7 1000.6 1004.2  996.2  997.5 1003.9 1012.3 1014.1 1017.2
  15  1019.3 1013.5 1010.9 1005.8 1002.8 1002.8  996.5  998.1 1004.5 1012.3 1017.1 1016.1
  16  1018.6 1012.0 1009.5 1004.1 1002.5 1001.1  996.9 1001.9 1002.8 1012.4 1016.9 1013.7
  17  1019.6 1010.2 1008.7 1004.1 1001.0 1000.4  997.2  999.2 1002.2 1014.1 1016.3 1014.8
  18  1019.7 1010.7 1007.2 1008.0 1002.1 1000.6 1000.5  998.5 1007.0 1012.1 1015.5 1015.5
  19  1016.6 1013.9 1005.8 1011.2 1004.8 1001.7 1001.0 1000.2 1008.1 1010.1 1015.8 1015.0
  20  1011.8 1015.0 1006.6 1010.1 1003.5 1000.1 1001.3 1001.8 1007.2 1011.8 1016.1 1014.0
  21  1008.5 1009.7 1009.4 1008.5 1002.5  997.0 1001.4 1001.7 1006.2 1014.0 1013.9 1014.1
  22  1008.0 1008.0 1010.1 1008.4  999.1  999.8 1004.9 1001.4 1006.3 1017.6 1015.0 1015.9
  23  1013.1 1012.4 1010.0 1009.1  997.2 1006.6 1001.9 1000.2 1006.9 1016.3 1015.9 1014.2
  24  1013.8 1015.6 1007.1 1008.9 1001.1 1004.2  999.4 1002.1 1005.5 1013.3 1014.7 1016.6
  25  1016.2 1014.9 1008.1 1007.4 1006.3  999.9  998.5 1002.1 1004.5 1010.7 1014.9 1017.2
  26  1015.4 1013.3 1011.1 1006.5 1004.5  998.7 1003.9 1003.7 1008.3 1012.5 1015.7 1016.5
  27  1018.7 1018.2 1010.7 1006.8 1002.5 1000.2 1004.4 1004.8 1008.6 1013.0 1011.4 1020.4
  28  1017.8 1017.6 1009.7 1006.4 1002.7 1000.8 1006.5 1004.4 1007.8 1014.5 1010.7 1018.5
  29  1016.2  ***   1007.6 1006.2 1003.3  998.8 1005.9 1005.1 1006.9 1014.1 1014.3 1017.3
  30  1015.1  ***   1006.8 1003.6 1002.8  997.8 1004.8 1008.3 1008.7 1014.9 1016.5 1020.1
  31  1011.6  ***   1008.6  ***   1003.9  ***   1002.2 1007.6  ***   1014.0  ***   1023.8
AVE.  1016.4 1013.4 1011.4 1007.6 1003.1 1001.7 1000.1 1000.8 1005.8 1011.6 1015.1 1016.2
