Station : KARACHI-AP      
Year : 2022          Cloud, total amount at 0300 UTC (okta)       
Day    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
   1   2      0      0      0      0      1      7      8      6      1      0      0    
   2   0      0      0      0      0      2      7      7      7      6      0      0    
   3   3      0      0      0      4      0      5      7      6      6      0      0    
   4   7      0      0      0      4      3      7      8      7      6      0      0    
   5   8      0      4      3      5      5      6      7      4      2      0      0    
   6   7      5      5      2      0      3      7      7      7      2      5      0    
   7   4      3      0      0      3      2      6      1      2      0      2      0    
   8   0      4      2      0      3      5      7      6      2      2      0      0    
   9   0      0      0      0      5      6      7      7      0      0      0      0    
  10   0      0      2      4      5      6      6      7      0      0      0      0    
  11   0      0      0      5      4      4      7      7      3      0      0      0    
  12   3      0      0      0      0      6      5      7      7      0      0      0    
  13   0      0      0      5      0      4      3      8      7      0      0      0    
  14   0      0      0      0      0      4      6      5      0      0      1      0    
  15   0      0      0      0      2      4      6      7      5      0      0      0    
  16   0      0      0      2      0      4      5      6      7      0      0      0    
  17   5      0      0      3      0      4      4      8      0      0      0      0    
  18   0      0      1      6      2      6      7      8      4      0      0      3    
  19   0      0      0      3      4      7      7      8      0      2      0      4    
  20   3      0      0      4      4      7      6      7      4      2      0      5    
  21   4      0      0      4      7      7      7      7      3      0      0      0    
  22   0      0      0      3      6      4      7      6      7      0      0      0    
  23   0      0      1      2      7      0      6      7      4      0      0      0    
  24   0      0      2      4      2      0      7      8      7      0      0      0    
  25   0      0      0      0      5      3      8      7      5      2      0      0    
  26   0      0      0      0      7      1      8      6      5      4      0      0    
  27   0      0      0      3      6      4      8      7      3      0      0      0    
  28   0      3      0      4      6      0      7      6      4      0      0      5    
  29   2      ***    0      0      6      2      7      7      3      0      0      5    
  30   0      ***    0      0      4      7      6      4      3      0      0      0    
  31   3      ***    0      ***    4      ***    7      2      ***    0      ***    0    
AVE.     1.6    0.5    0.5    1.9    3.4    3.7    6.4    6.5    4.1    1.1    0.3    0.7
