Station : KARACHI-AP      
Year : 2022          Relative humidity at 0300 UTC (%)
Day    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
   1  57     89     81     27     63     72     79     96     78     81     87     66    
   2  46     90     45     53     56     75     75     88     81     81     84     68    
   3  40     22     68     76     72     75     76     85     85     81     88     80    
   4  49     54     82     84     74     75     79     85     78     85     92     61    
   5  95     77     78     77     74     78     89     82     81     85     87     69    
   6  85     85     66     77     78     78     89     82     81     84     83     69    
   7  89     85     83     77     78     78     78     82     81     84     87     67    
   8  88     95     56     42     78     75     88     89     81     51     86     84    
   9  88     84     68     77     75     72     85     89     65     53     82     85    
  10  87     73     73     77     75     75     89     72     63     57     91     75    
  11  76     77     67     81     78     75     92     82     78     70     82     55    
  12  87     68     66     77     75     75     81     85     81     75     82     61    
  13  88     78     70     84     69     78     82     96     88     87     87     54    
  14  61     89     61     81     66     75     85     92     92     79     84     46    
  15  58     79     84     81     75     72     69     85     88     71     67     61    
  16  68     65     84     81     75     75     78     92     85     79     73     73    
  17  56     89     87     85     56     75     75     92     85     59     95     71    
  18  68     90     83     81     72     79     92     92     85     69     86     73    
  19  78     61     80     78     75     79     89     88     85     84     91     83    
  20  86     78     69     78     72     79     82     88     81     84     91     60    
  21  87     82     83     71     82     79     82     88     77     88     56     53    
  22  14     87     71     77     75     79     85     85     85     58     91     44    
  23  28     91     87     81     79     65     82     88     77     63     66     49    
  24  57     70     84     81     78     69     92     92     85     79     85     63    
  25  63     90     88     71     75     75     96     85     77     84     76     81    
  26  82     90     75     75     72     79     96     81     85     88     75     67    
  27  65     61     66     78     78     82     92     77     81     84     90     67    
  28  76     48     73     81     72     79     92     85     85     91     80     53    
  29  83      ***   70     75     72     79     81     81     85     84     70     86    
  30  95      ***   76     60     75     82     85     81     81     83     59     51    
  31  91      ***   26      ***   72      ***   88     81      ***   83      ***   59    
AVE.    70.7   76.7   72.6   74.1   73.1   76.1   84.6   86.0   81.3   76.9   81.8   65.6
