Station : KARACHI-AP      
Year : 2022          Temperature, daily maximum (øC)              
Day    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
   1   23.8   30.1   32.5   41.3   40.6   34.5   35.0   31.7   33.1   32.5   35.3   31.5 
   2   25.4   31.1   32.5   40.5   39.5   35.5   35.5   29.5   31.5   32.5   35.2   32.0 
   3   25.5   29.0   32.2   41.0   35.5   37.5   34.2   30.5   33.5   33.5   35.0   30.1 
   4   25.5   29.5   33.0   39.5   35.3   36.9   35.1   31.9   33.2   33.5   34.4   30.5 
   5   23.5   30.5   32.5   35.4   36.5   35.0   36.5   33.5   32.0   33.1   35.3   30.5 
   6   22.5   27.5   33.3   40.7   34.6   34.6   36.5   33.9   31.5   36.5   36.3   30.0 
   7   18.5   27.3   31.5   39.0   36.0   34.3   33.5   32.5   33.5   36.5   34.2   29.8 
   8   20.2   27.1   33.5   41.2   37.0   34.2   35.0   35.0   34.5   38.2   31.0   32.1 
   9   22.5   27.2   35.0   40.1   35.0   34.3   33.5   35.4   35.5   38.5   31.1   32.1 
  10   21.5   28.2   34.0   36.8   35.2   33.5   30.5   36.5   39.5   38.7   31.5   30.5 
  11   22.7   28.5   35.1   38.8   35.6   34.5   33.1   35.5   40.5   37.2   33.5   30.5 
  12   23.1   29.7   37.2   35.2   36.5   34.5   30.4   35.5   36.3   37.8   34.2   29.5 
  13   23.5   29.5   38.2   33.6   37.2   36.0   34.5   33.5   35.3   36.5   34.0   30.0 
  14   24.0   27.5   39.3   35.9   41.0   35.5   35.0   29.2   36.2   36.2   33.5   28.7 
  15   24.5   28.8   37.5   35.0   42.8   36.3   37.5   32.3   37.2   36.5   32.1   30.6 
  16   24.2   30.8   34.5   37.9   36.5   34.6   36.5   31.4   33.2   37.6   30.5   30.5 
  17   24.1   31.5   34.2   36.8   41.7   35.5   35.3   32.8   31.5   38.4   32.2   30.8 
  18   26.5   31.5   34.2   34.6   41.0   35.1   35.0   30.3   32.2   38.2   33.0   31.9 
  19   26.5   31.5   33.1   34.5   36.3   34.5   31.7   29.2   33.5   35.5   32.2   29.7 
  20   27.3   32.0   36.6   34.4   35.5   35.2   32.5   29.5   33.3   34.8   32.0   31.5 
  21   30.0   33.6   36.0   37.5   35.0   34.5   34.1   30.5   32.2   33.6   32.5   29.5 
  22   28.0   32.1   32.5   37.5   35.5   35.0   33.1   31.5   32.3   36.5   32.5   29.3 
  23   22.0   31.0   30.8   35.1   35.5   36.8   31.8   32.1   31.8   36.6   34.0   27.6 
  24   23.5   32.6   33.5   34.8   39.1   39.6   32.0   31.2   31.1   37.1   32.5   27.3 
  25   24.5   32.0   37.5   38.0   37.0   40.0   29.0   29.1   31.5   35.5   32.1   26.7 
  26   25.2   32.3   39.5   37.0   35.2   36.5   30.1   30.5   32.1   33.5   31.2   26.5 
  27   25.7   32.5   38.5   36.5   34.1   37.8   30.4   32.0   33.1   34.5   32.0   26.5 
  28   26.0   29.1   40.5   38.7   34.5   36.3   29.8   31.1   33.1   32.2   31.0   27.0 
  29   26.5   ***    35.8   37.1   36.4   37.4   31.8   32.1   32.5   34.0   32.1   27.1 
  30   27.5   ***    35.5   37.5   35.2   35.2   31.4   31.5   33.1   34.5   31.1   29.5 
  31   27.5   ***    42.5   ***    35.5   ***    31.1   33.0   ***    35.7   ***    27.2 
AVE.    24.6   30.1   35.2   37.4   36.8   35.7   33.3   32.1   33.7   35.7   32.9   29.6
