Station : KARACHI-AP      
Year : 2022          Temperature, daily minimum (øC)              
Day    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
   1   12.9   15.5   18.0   20.4   29.6   28.4   29.4   26.5   27.5   25.5   21.2   11.5 
   2   13.5   16.0   18.5   19.8   28.5   27.5   30.0   27.0   27.5   26.5   24.0   12.5 
   3   16.0   18.5   18.5   20.5   27.5   28.0   29.5   27.5   27.0   26.5   24.0   14.5 
   4   17.0   14.6   19.0   23.4   27.0   27.7   29.0   28.0   27.5   26.5   22.9   12.5 
   5   14.8   12.5   19.5   24.0   26.6   28.0   28.0   28.0   26.5   26.0   20.0   14.5 
   6   15.0   13.0   19.0   22.2   27.0   27.0   29.0   28.5   27.0   26.0   20.0   14.5 
   7   13.3   16.5   20.5   25.5   27.2   27.0   26.4   28.2   27.0   25.5   20.5   12.5 
   8   11.0   17.5   21.5   27.5   27.0   28.0   26.5   27.0   27.0   26.5   20.0   13.0 
   9    9.7   14.5   18.5   26.0   28.0   28.0   26.0   28.9   27.8   24.0   19.5   14.5 
  10   10.0   13.7   19.5   24.0   28.2   28.5   26.9   29.5   28.5   23.8   20.5   15.9 
  11   10.5   12.7   20.2   25.3   27.6   29.0   26.0   25.9   29.0   20.5   20.5   16.0 
  12    9.5   12.7   20.8   25.5   28.1   29.0   25.0   26.5   28.0   20.5   20.0   16.5 
  13    9.5   12.5   21.0   25.0   28.5   28.5   28.5   26.0   24.5   19.5   20.5   16.5 
  14   10.3   13.5   21.5   25.7   28.7   28.5   28.0   25.5   24.9   19.5   22.0   18.0 
  15   12.5   15.4   23.0   25.0   28.3   29.5   28.5   27.0   27.4   18.0   21.5   11.2 
  16   14.0   15.5   23.0   26.1   28.5   29.2   26.6   27.0   27.0   19.9   19.0   12.5 
  17   14.0   14.5   22.5   26.0   28.0   29.5   28.5   27.0   26.9   19.4   19.5   11.7 
  18   13.5   14.5   23.5   26.5   28.0   29.0   27.0   26.5   27.0   22.5   19.0   12.0 
  19   13.0   16.8   24.0   26.7   27.9   29.5   27.5   27.5   26.7   23.5   20.0   12.8 
  20   13.5   17.0   24.9   26.7   28.0   29.7   28.0   27.1   26.4   22.8   20.5   13.0 
  21   21.0   20.0   21.5   26.8   29.0   29.8   28.4   27.0   26.0   22.5   18.2   13.0 
  22   19.0   21.5   22.4   26.5   28.5   29.5   28.5   27.5   26.0   23.0   20.0   11.4 
  23   13.5   19.4   23.5   26.5   29.1   23.0   28.0   27.0   26.5   19.5   16.5   10.0 
  24    9.0   15.5   23.5   26.5   27.5   29.5   27.0   26.5   26.5   20.5   16.0   10.1 
  25    9.4   16.0   23.5   27.5   28.5   29.5   25.5   26.5   26.5   23.5   16.3    9.9 
  26   10.0   17.5   19.8   27.0   28.7   29.3   26.0   26.5   26.0   24.5   15.5   10.0 
  27   10.5   18.5   21.5   27.0   28.6   29.5   26.0   27.0   26.5   23.5   16.5   12.5 
  28   11.0   18.0   24.5   27.5   28.5   29.5   25.5   26.8   26.0   21.5   16.0   13.0 
  29   11.5   ***    25.5   28.5   28.5   29.5   27.0   27.0   26.0   22.5   14.7   14.5 
  30   13.5   ***    21.8   29.4   28.0   29.1   26.5   26.5   26.0   20.3   13.5   16.0 
  31   15.0   ***    23.7   ***    28.5   ***    26.2   26.9   ***    21.0   ***    11.5 
AVE.    12.8   15.8   21.6   25.5   28.1   28.6   27.4   27.1   26.8   22.7   19.3   13.2
