Station : KARACHI-AP      
Year : 2022          Precipitation, Past 24 hrs.(mm)              
Day    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
   1   0.0    0.0    0.0    0.0    0.0    0.0    0.0    3.0    0.0    0.0    0.0    0.0  
   2   0.0    0.0    0.0    0.0    0.0    0.0    Trace  2.3    Trace  0.0    0.0    0.0  
   3   0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0  
   4   0.0    0.0    0.0    0.0    0.0    0.0    0.0    Trace  0.0    0.0    0.0    0.0  
   5  20.7    0.0    0.0    0.0    0.0    0.0    3.8    0.0    0.0    0.0    0.0    0.0  
   6   0.0    0.0    0.0    0.0    0.0    0.0    7.2    Trace  0.0    0.0    0.0    0.0  
   7   7.8    0.0    0.0    0.0    0.0    0.0   13.9    0.2    0.0    0.0    0.0    0.0  
   8   0.0    0.0    0.0    0.0    0.0    0.0   14.0    9.3    0.0    0.0    2.6    0.0  
   9   0.0    0.4    0.0    0.0    0.0    0.0   53.0    Trace  0.0    0.0    0.0    0.0  
  10   0.0    0.0    0.0    0.0    0.0    0.0    1.1    0.0    0.0    0.0    0.0    0.0  
  11   0.0    0.0    0.0    0.0    0.0    0.0   49.8   35.5    0.0    0.0    0.0    0.0  
  12   0.0    0.0    0.0    0.0    0.0    0.0   37.6   16.9    0.0    0.0    0.0    0.0  
  13   0.0    0.0    0.0    0.0    0.0    0.0    0.0   12.0   34.2    0.0    0.0    0.0  
  14   0.0    0.0    0.0    0.0    0.0    0.0    0.0    4.2    9.2    0.0    0.0    0.0  
  15   0.0    0.0    0.0    0.0    0.0    0.0    Trace  0.5    0.0    0.0    0.0    0.0  
  16   0.0    0.0    0.0    0.0    0.0    0.0    2.3    1.0    0.0    0.0    0.0    0.0  
  17   0.0    0.0    0.0    0.0    0.0    0.0    Trace 13.7    Trace  0.0    0.0    0.0  
  18   0.0    0.0    0.0    0.0    0.0    Trace 33.2   19.1    0.0    0.0    0.0    0.0  
  19   0.0    0.0    0.0    0.0    0.0    0.0    2.6    Trace  0.0    0.0    0.0    0.0  
  20   0.0    0.0    0.0    0.0    0.0    0.0    Trace  Trace  0.0    0.0    0.0    0.0  
  21   0.0    0.0    0.0    0.0    0.0    Trace  Trace  0.5    0.0    0.0    0.0    0.0  
  22   0.0    0.0    0.0    0.0    0.0    0.0    Trace  Trace  0.0    0.0    0.0    0.0  
  23   0.0    0.0    0.0    0.0    0.0   21.6    2.8    0.0    0.0    0.0    0.0    0.0  
  24   0.0    0.0    0.0    0.0    0.0    0.0    0.6    4.4    0.0    0.0    0.0    0.0  
  25   0.0    0.0    0.0    0.0    0.0    0.0   81.7    5.3    0.0    0.0    0.0    0.0  
  26   0.0    0.0    0.0    0.0    0.0    0.0   39.2    0.0    0.0    0.0    0.0    0.0  
  27   0.0    0.0    0.0    0.0    0.0    0.0    0.5    0.0    0.0    0.0    0.0    0.0  
  28   0.0    0.0    0.0    0.0    0.0    0.0    3.5    0.0    0.0    0.0    0.0    0.0  
  29   0.0    ***    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0  
  30   0.0    ***    0.0    0.0    0.0    Trace  1.0    0.0    0.0    0.0    0.0    0.0  
  31   0.0    ***    0.0    ***    0.0    ***    0.5    0.0    ***    0.0    ***    0.0  
TOTAL   28.5    0.4    0.0    0.0    0.0   21.6  348.3  127.9   43.4    0.0    2.6    0.0
