Station : KARACHI-AP      
Year : 2022          Wind direction at 0300 UTC (degree)          
Day    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
   1  23      0      0      0    270    270    270    270    270    270      0      0    
   2  23      0    315      0    270    248    270    270    270    293      0     68    
   3  23    315     45      0    248    293    248    270    270    315      0     68    
   4  45      0      0    225    270    270      0    315    270    270      0     23    
   5   0    248      0    293    293    248      0    293    270      0      0     90    
   6  90     45    270    293    315    248     68    248    315    293      0     90    
   7  23      0      0    270    293    270     45    315    270    338     45     90    
   8   0     68     45    293    248    270      0    293      0    360      0      0    
   9   0      0      0    225    248    270    270    248    338      0      0      0    
  10  68     68      0    248    225    248      0    360      0      0      0     45    
  11   0      0      0    248    248    248    225      0      0      0     23     23    
  12  45     68      0    248    248    248    293     68    315      0      0     23    
  13   0     45      0    248    270    270    270      0      0      0      0     45    
  14  23      0    270    270    270    248      0     45      0      0      0     23    
  15  23     45    248    270    225    248     45    338    270     45     45      0    
  16  45     45    293    270    270    248     23      0    270      0      0     68    
  17  45      0    248    225    270    248     45      0    270      0     45     45    
  18   0      0    270    248    270    248     90    225    248    225      0      0    
  19   0      0    270    293    225    248      0    225    293      0      0     90    
  20 293      0    270    270    248    248    248    248    270    293      0     90    
  21 270    270      0    293    248    248    248    248    270     45      0     68    
  22 293    225    248    270    270    203    203    270    270    360      0     45    
  23   0      0    248    270    270      0    270    293    293      0     90     68    
  24   0      0    293    248    225    270    293    293    293      0      0     90    
  25  68      0    293    225    248    293      0    270    248    270     68      0    
  26  68      0      0    270    270    293    203    248    248    293     45     68    
  27   0     45      0    270    248    225      0    248    270      0      0     45    
  28   0     45    293    270    270      0    270    248    293      0      0     68    
  29  45      ***  270    270    270    293    270    248    270     23     68      0    
  30   0      ***    0    293    270    248    248    315    248      0     90     68    
  31   0      ***   45      ***  270      ***  248    270      ***    0      ***   23    
MEAN      20     21    167    175    173    168    171    175    176    143     56     53
