Station : KARACHI-AP      
Year : 2022          Wind speed at 0300 UTC (knots)               
Day    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
   1   4      0      0      0     10      8      8      8      8      4      0      0    
   2   6      0      4      0     16      8      8      4      8      8      0      2    
   3   6     10      4      0      8     10      4      4     10      2      0      2    
   4   4      0      0      4      8     12      0      8     12      6      0      4    
   5   0      2      0      4      6     10      0      6     10      0      0      2    
   6   8      2      4     10      8      8      2      6      8      6      0      2    
   7   6      0      0      6      8      8     10      2      6      2      4      2    
   8   0      2      6      6      8     10      0      6      0      6      0      0    
   9   0      0      0      6      6     10      4      6      4      0      0      0    
  10   2      2      0      2      6     10      0      4      0      0      0      4    
  11   0      0      0      8      4     10      6      0      0      0      2      4    
  12   4      2      0      4      4      8      6     12      2      0      0      4    
  13   0      2      0      8      6      8      6      0      0      0      0      2    
  14   2      0      6      6     10      6      0      6      0      0      0      8    
  15   6      4      4      4      6     10     10      6      8      2      6      0    
  16   4      4      4      8      8     10     10      0     10      0      0      2    
  17   6      0      6      6     12      8     10      0      6      0      4      2    
  18   0      0      4      6      6      8      2      8      6      4      0      0    
  19   0      0      2      6      6     10      0      4      4      0      0      2    
  20   4      0      4      6     10     12      8      4      6      4      0      2    
  21   4      2      0      8     10     14     10      8      6      4      0      2    
  22  18      4      2      8     14      2      4      6      8      2      0      4    
  23   0      0      4      6      8      0      6      4      8      0      2      2    
  24   0      0      4      6      6      6      4      6     10      0      0      4    
  25   4      0      2      8      4      8      0      4      8      4      2      0    
  26   4      0      0      6     12      6      4      6      4      4      2      2    
  27   0      8      0      6      8      6      0      6      4      0      0      2    
  28   0      4      8      8     12      0      4      8      6      0      0      4    
  29   4      ***    8      6     10      8      6      6     10      4      2      0    
  30   0      ***    0      8     10     10      6      4      8      0      4      2    
  31   0      ***    2      ***   12      ***    8      8      ***    0      ***    2    
AVE.     3.1    1.7    2.5    5.7    8.5    8.1    4.7    5.2    6.0    2.0    0.9    2.2
