MONTHLY AMOUNT OF PRECIPITATION (mm)

KARACHI (AIRPORT)    

Year    Jul    Aug    Sep  Total
1991  TRACE  TRACE  TRACE  TRACE
1992   83.9  138.2   22.6  244.7
1993    8.4  TRACE  TRACE    8.4
1994  256.3  147.8   61.7  465.8
1995  157.9    6.2    0.0  164.1
1996   12.8    0.4    0.0   13.2
1997   18.6   27.5   30.0   76.1
1998   10.0    0.5    0.0   10.5
1999    0.2  TRACE    0.0    0.2
2000  TRACE   24.9  TRACE   24.9
2001   73.6   16.2  TRACE   89.8
2002    0.3   52.2  TRACE   52.5
2003  270.4    9.8  TRACE  280.2
2004    3.0    5.6  TRACE    8.6
2005    1.3    0.3   54.9   56.5
2006   66.2  148.6   21.9  236.7
2007   41.0  250.4    0.0  291.4
2008   54.0   37.5  TRACE   91.5
2009  159.9   44.0   68.9  272.8
2010  113.4  111.5   42.7  267.6
2011    7.2   60.3  212.6  280.1
2012  TRACE    8.1  121.0  129.1
2013    5.5  105.4    4.0  114.9
2014    1.1    9.9    1.4   12.4
2015   46.6    1.4  TRACE   48.0
2016    1.9   96.9  TRACE   98.8
2017   33.3   65.6   26.4  125.3
2018  TRACE    0.8  TRACE    0.8
2019   66.3  204.9   51.7  322.9
2020  101.2  366.8  TRACE  468.0

